STT,Job_Name,Company_Name,Address,Salary,Nature_Work,Level,Describe,Requirement,Benefits,Deadline,Type_Job
0,[ Pasay - Manila ] Nhân viên Xuất Nhập Khoản,Timesgroup Company,['Hồ Chí Minh'],[30000],Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n- Kiểm tra ngân hàng', '-Xác nhận tiền cho khách', '- Làm báo biểu excel          ']","['\n            ', '\n            Phải có khả năng nói tiếng Trung và có kỹ năng giao tiếp và hiểu biết tốt', 'Nghiêm túc, tỉ mỉ, có tinh thần trách nhiệm, học hỏi nhanh, có tinh thần đồng đội, hợp tác với tập thể, tuân thủ sự sắp xếp;', 'Quen với việc sử dụng máy tính và các phần mềm văn phòng khác nhau, quen thuộc với ngân hàng trực tuyến, Alipay, WeChat và các phương thức thanh toán khác;          ']","['\n            ', '\n            - Thử việc: thời gian thử việc là 2 hoặc 3 tháng.', '- Chuyên cần: mỗi tháng không đi trễ, về sớm, không nghỉ phép sẽ được 500NDT chuyên cần.', '- Thâm niên: nhận chức đủ 9 tháng sẽ có tiền thâm niên, nhận chức thời gian càng lâu tiền thâm niên càng cao.', '- Hiệu suất cao: Tiền hiệu suất cao nhất có thể đạt đến 50% lương cơ bản, có cố gắng sẽ có hồi đáp.', '- Thưởng cuối năm: ít nhất là lương tháng 13.', '- Phúc lợi cổ tức: nhận chức đủ nữa năm, mỗi tháng sẽ có phúc lợi cổ tức.', '- Ăn: sáng, trưa, chiều và bữa khuya, trái cây, nước uống, thức ăn vặt, 1 năm 365 ngày miễn phí cung ứng không giới hạn.', '- Lưu trú: khách sạn căn hộ cao cấp, 3 phòng ngủ 1 phòng khách, có phòng tập Gym, hồ bơi, nhiều nhất là 2 người 1 phòng, có nhân viên dọn dẹp vệ sinh, nếu thuê phòng bên ngoài sẽ có tiền trợ cấp nhà ở. ', '- Đi lại: có xe phục vụ 24/24, gọi là có, không cần lo lắng việc đi lại.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,['Hành chính - Văn phòng']
1,Android Developer,Công Ty Cổ Phần Phát Triển Giải Pháp Và Cntt Việt Nam,['Hà Nội'],"[15000, 20000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n- Tham gia thực hiện thiết kế, xây dựng và triển khai ứng dụng mobile.', '- Phát triển các ứng dụng trên nền tảng Android, cải thiện tốc độ, hiệu quả và mở rộng ứng dụng.', '- Tham gia phát triển, đề xuất giải pháp kỹ thuật cho các dự án lập trình ứng dụng.', '- Nghiên cứu, tìm hiểu các công nghệ mới phục vụ các nhu cầu của công ty', '- Làm việc, phối hợp công việc theo nhóm dưới sự phân công công việc của cấp trên.          ']","['\n            ', '\n            - Có kinh nghiệm lập trình Android 1.5 năm trở lên', '- Ứng viên từ 9x', '- Thành thạo Android java hoặc kotlin.', '- Có kinh nghiệm sử dụng các thư viện và SDK hỗ trợ.', '- Có kiến thức cơ bản về lập trình, thuật toán, thiết kế hệ thống.', '- Đọc hiểu tài liệu tiếng Anh chuyên ngành.', '- Đam mê, chủ động công việc, có kỹ năng làm việc nhóm, làm việc độc lập.', '- Đam mê phát triển sản phẩm.          ']","['\n            ', '\n            - Mức lương lên tới 20 triệu đồng', '- Thưởng dự án, lễ, tết tây, tết ta', '- Chế độ BHXH, BHYT, BHTN theo luật lao động', '- Tham gia các dự án chất lượng cao để phát triển bản thân.', '- Xét tăng lương 2 lần/ năm.', '- Thưởng dự án theo doanh thu, thưởng Tết, cuối năm và các phúc lợi hấp dẫn.', '- Tham gia các hoạt động vui chơi giải trí, du lịch, team building, ăn uống cùng các thành viên trong công ty.          ', '\n              ', '\n              - Sơ yếu lý lịch.', '- Đường link hoặc các file apk sản phẩm đã làm            ']",,['IT phần mềm']
2,NHÂN VIÊN MARKETING,Cổ Phần Thương Mạilopy,['Hà Nội'],"[7000, 10000]",Toàn thời gian tạm thời,Nhân viên,"['\n            ', '\n            ', '\n', '\nMÔ TẢ CÔNG VIỆC', 'Lên ý tưởng và viết nội dung quảng cáo (bao gồm: viết nội dung, trình bày nội dung, ý tưởng hình ảnh...).', '- Triển khai các chiến dịch quảng cáo trên Facebook theo ngân sách được duyệt.', '- Báo cáo, đánh giá kết quả của các chiến dịch quảng cáo và truyền thông mà mình thực hiện ( Facebook , Zalo, Insta , Seo, GG Ads..)', '- Phối hợp với các bộ phận khác để cùng triển khai kế hoạch truyền thông, quảng cáo', '- Hoạch định chiến lược marketing Online, lên kế hoạch Marketing định kỳ và các chương trình marketing phát sinh theo yêu cầu của hoạt động kinh doanh', '- Thực hiện các công việc khác theo sự phân công của Quản lý          ']","['\n            ', '\n            Có laptop', '- Giới tính: Nam/ Nữ.', '- Độ tuổi: 21-28', '- Am hiểu về kinh doanh trực tuуến và các công cụ quảng cáo Online như FB, Ads, Seo, SEM, CPC, CPM, SMS Marketing... là một lợi thế', '- Khả năng sắρ xếp, phân tích công việc, giải quуết vấn đề tốt', '- Có khả năng làm việc độc lậρ          ']","['\n            ', '\n            Lương cứng: 7M +pc+ thưởng=> thu nhập: 10-15M', 'Time làm việc: 9H-17h30, nghỉ trưa 1,5 tiếng, từ t2-t7', 'Môi trường làm việc dân chủ, hiện đại, chuyên nghiệp, có cơ hội thăng tiến và ổn định lâu dài.', 'Được đóng BHXH, BHYT, BH thất nghiệp theo quy định của nhà nước.', 'Được hưởng các quyền lợi khác theo chính sách của công ty.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['Marketing - PR', 'Tiếp thị - Quảng cáo', 'IT phần mềm']"
3,"THỰC TẬP SINH .NET DEVELOPER (C-SHARP, ASP.NET )",Công Ty TNHH W2Solution Việt Nam,['Hồ Chí Minh'],['Thỏa thuận'],Toàn thời gian cố định,Thực tập sinh,"['\n            ', '\n            ', '\n', '\n- Tham gia phát triển các dự án phần mềm.', '- Thực hiện coding theo các công việc được giao.', '- Một số công việc khác sẽ trao đổi cụ thể trong buổi phỏng vấn', '- Thực tập sinh khi vào làm sẽ được nghiên cứu về cách tiến hành công việc và tìm hiểu nghiệp vụ về thương mại điện tử .', '- Chúng tôi sẽ hướng dẫn và tập huấn cho nhân viên về ý thức chất lượng, team work cần thiết cho công việc nhóm          ']","['\n            ', '\n            - Đã tốt nghiệp (có thể chưa lấy bằng) chuyên ngành CNTT – phần mềm.', '- Có kiến thức về lập trình về ngôn ngữ C#, Asp.net, SQL.', '- Ưu tiên các thực tập sinh có hiểu biết, kinh nghiệm về E-Commerce.', '- Thực tập sinh cần cung cấp bảng điểm tại trường đang theo học.          ']","['\n            ', '\n            ■ Quyền lợi Thực tập sinh:', '- Được làm việc trong môi trường Nhật Bản năng động.', '- Được training các kiến thức và kỹ năng bởi các kỹ sư nhiều kinh nghiệm và cọ sát với các dự án thực tế.', '- Được tham gia các hoạt động Team building của Công ty.', '- Được tham gia lớp học tiếng Nhật 1 tuần / 3 buổi.', '- Tham gia hoạt động thể thao hằng tuần : đá banh ,…', '- Được sử dụng các nhu yếu phẩm : trà , cà phê , mì gói , bánh ...', '- Được đánh giá kết quả sau thời gian thực tập để trở thành nhân viên chính thức.', '- Khi các bạn thực tập sinh trở thành nhân viên chính thức với kết quả thực tập tốt sẽ được đánh giá khen thưởng 3 tháng 1 lần.', '■ Khi trở thành nhân viên chính thức sẽ được thêm những phúc Lợi sau :', '- Lương tháng 13', '- Đánh giá 1 năm / 2 lần', '- Khám sức khỏe định kỳ hằng năm', '- Du lịch công ty 1 năm / 1 lần', '- Phần ăn trưa trị giá 500.000 VND', '- Được đóng BHXH, BHYT, BHTN theo đúng quy định luật lao động Việt Nam          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['IT phần mềm', 'Thương mại điện tử']"
4,Nhân viên Telesale,Công Ty Cổ Phần Công Nghệ Trường Minh Thịnh,['Hồ Chí Minh'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n-\tTìm kiếm khách hàng tiềm năng;', '-\tTiếp thị và bán các sản phẩm của công ty để đạt KPIs về định mức doanh thu;', '-       Phối hợp với các bộ phận liên quan để phục vụ khách hàng tốt nhất;', '-      Phải đảm bảo bí mật kinh doanh của khách hàng, của công ty trong khi làm việc tại công ty          ']","['\n            ', '\n            -\tSử dụng thành thạo vi tính văn phòng, các phần mềm liên quan đến công việc, làm việc độc lập;', '-\tNăng động, sáng tạo và nhạy bén trong công việc;', '-\tThúc đẩy kinh doanh, kỹ năng giao tiếp;', '-\tCó khả năng tự thúc đẩy, tự vạch định mục tiêu cụ thể và tập trung ', 'thực hiện mục tiêu;', '-\tTinh thần trách nhiệm cao trong côgviệc;', '-\tTích cực, chủ động, nhiệt tình trong công việc;          ']","['\n            ', '\n            -\tĐược Công ty đóng bảo hiểm xã hội, tham gia Công đoàn;', '-\tCác phúc lợi và chế độ của công ty;', '-\tTham gia teambuilding cùng Công ty;', '-\tMức lương cạnh tranh dựa trên năng lực nhân viên. Thưởng dự án quý/năm;', '-\tLương tháng 13, thưởng trong tất cả các ngày Lễ - Tết, thưởng dự án, ...;', '-\tMôi trường làm việc trẻ trung, năng động, và nhiều cơ hội thăng tiến trong công việc.          ', '\n              ', '\n              - Cv', '- Các bằng cấp có liên quan.            ']",,"['IT phần mềm', 'Việc làm bán hàng']"
5,Lập trình phát triển ứng dụng 3D trên WEB,Công Ty TNHH Vacs Việt Nam (Vacs Vn),['Đà Nẵng'],['Thỏa thuận'],Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            - Lập trình tương tác, lập trình UI phát triển ứng dụng 3D (những công trình nội ngoại thất cảnh quan kiến trúc .) trên nền Web', '- Lập trình Tương tác, lập trình UI bằng các phần mềm Unreal, Unity cho các công trình kiến trúc, nội thất, ngoại thất, cảnh quan kiến trúc.          ']","['\n            ', '\n            - Biết Lập trình WEB ( liên quan đến WEBGL, threejs, babylonjs)', '- Biết lập trình Ngôn ngữ C++ hoặc C#', '- Không yêu cầu bằng cấp cụ thể, có khả năng tìm tòi, học hỏi, khả năng tư duy tốt.', '- Biết thêm lập trình Blueprint Unreal và sử dụng được Unreal , Unity là một lợi thế.', '- Có khả năng làm việc nhóm.', '- Nhiệt tình và tinh thần trách nhiệm với công việc.', '- Chịu được áp lực công việc.          ']","['\n            ', '\n            - Mức lương thoả thuận.', '- Thời gian thử việc: 2 tháng.', '- Thời gian làm việc: 05 ngày/ tuần, có thể tăng ca sau giờ làm nếu công việc yêu cầu - có trả lương tăng ca.', '- Thưởng 2 lần / 1 năm.', '- Tăng lương 2 - 4 lần / 1 năm.', '- Du lịch công ty trong hoặc ngoài nước.', '- Có cơ hội đi công tác tại Nhật Bản.', '- Khám sức khỏe định kỳ hàng năm.', '- Ký hợp đồng và đóng BHXH đầy đủ theo quy định của pháp luật.', '- Môi trường làm việc năng động, có cơ hội thăng tiến nhanh và nâng cao năng lực bản thân.', 'ĐỊA ĐIỂM LÀM VIỆC: ', 'Chi nhánh Đà Nẵng: Tầng 4, Tòa nhà PVcombank, Lô A 2.1, Đường 30/4, Q. Hải Châu, TP. Đà Nẵng.          ', '\n              ', '\n              - CV giới thiệu bản thân có ảnh cá nhân.', '- Bằng cấp, chứng chỉ liên quan (nếu có).            ']",,"['Công nghệ cao', 'IT phần mềm', 'Kiến trúc - Tk nội thất']"
6,Lập trình viên .net,Công Ty Cổ Phần Tekmedi,['Hồ Chí Minh'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n-\tTham gia vào các Dự án phần mềm về Y tế theo xu hướng công nghệ Cloud/4.0;', '-\tNghiên cứu yêu cầu của khách hàng, xây dựng tài liệu thiết kế và code, triển khai giải pháp và unit test;', '-\tXây dựng và chỉnh sửa các module, tính năng theo yêu cầu;', '-\tNghiên cứu công nghệ mới, áp dụng cải tiến business framework;', '-\tĐược tham gia toàn bộ quy trình phát triển phần mềm;', '-\tThực hiện báo cáo và các yêu cầu khác của Quản trị dự án.          ']","['\n            ', '\n            -\tTốt nghiệp CĐ/ĐH chuyên ngành Công nghệ thông tin hoặc có liên quan', '-\tThành thạo C#, ASP.NET và .NET Core framework', '-\tƯu tiên có kinh nghiệm với HTML5, CSS, JavaScript, Boostrap, Webservices', '-\tCó kiến thức về Design pattern và tư duy lập trình hướng đối tượng (OOP);', '-\tƯu tiên có kiến thức về phân tích thiết kế lập trình và quy trình phát triển phần mềm;', '-\tCó khả năng nghiên cứu và nắm bắt các công nghệ mới.          ']","['\n            ', '\n            - Lương cạnh tranh', '- Môi trường làm việc năng động, cởi mở, nhiều thử thách;', '- Thưởng lương tháng thứ 13, Tiền sinh nhật, Thưởng hàng năm - dựa trên đánh giá hiệu quả công việc của nhân viên và kết quả kinh doanh của công ty;', '- Nghỉ phép năm: 12 ngày/năm, được tăng thêm 1 ngày với 3 năm làm việc;', '- Cơ hội phát triển: lộ trình phát triển sự nghiệp rõ ràng, làm việc với đội ngũ tài năng, tiếp cận các công nghệ mới nhất và thử thách với các dự án mới;', '- Các sự kiện nội bộ: Hoạt động gắn kết, Team Building, Sinh nhật công ty, Tiệc cuối năm...', '- Được đánh giá, xét tăng lương theo định kỳ;', '- Hưởng các chế độ phúc lợi theo quy định của bộ Luật Lao động;', '- Thời gian làm việc: Thứ 2 đến Thứ 6 (từ 9h00 đến 18h00, trưa nghỉ từ 12h00 đến 13h00)          ', '\n              ', '\n              CV            ']",,['IT phần mềm']
7,Lập trình viên React Native,Công Ty TNHH Thương Mại Điện Tử Cầu Vồng,['Hồ Chí Minh'],['Thỏa thuận'],Hợp đồng,Nhân viên,"['\n            ', '\n            ', '\n', '\n Tham gia phát triển các dự án về Web Application, Mobile App với React Native', ' Tham gia xuyên suốt các công đoạn thiết kế, xây dựng, phát triển và tối ưu cho các chức năng hệ thống', ' Xây dựng giao diện người dùng tối ưu trên cả 2 nền tảng di động', ' Tối ưu native APIs để tích hợp chặt chẽ với các nền tảng', ' Hỗ trợ phối hợp với các bộ phận khác', ' Thiết kế giao diện, tối ưu UI/UX          ']","['\n            ', '\n             Thành thạo HTML/ CSS/ Boostrap/ JQuery/ Javascript/ React Native', ' Có kinh nghiệm về lập trình ứng dụng Mobile trên nền tảng React Native;', ' Có kiến thức về iOS/Android SDK và các loại API (Facebook, Google API…);', ' Nắm vững kiến thức về JavaScript, RESTfull API;', ' Có kinh nghiệm về push notification, location, lazy loading;', ' Biết tối ưu hiệu năng của ứng dụng;', ' Sử dụng tốt các hệ thống quản lý sourcecode như Git, Github;', ' Có tinh thần trách nhiệm, thái độ tích cực, siêng năng, cẩn thận;', ' Ưu tiên có sản phẩm chạy thực tế trên Apple Store và Google Play.', ' Có kinh nghiệm lập trình Native App', ' Có kiến thức cơ bản về UI/ UX, Responsive Design', ' Nắm vững các khái niệm lập trình OOP/ MVC', ' Có kinh nghiệm sử dụng Database', ' Có khả năng thiết kế và tối ưu cơ sở dữ liệu cho ứng dụng có lượng truy cập lớn', ' Kỹ năng tư duy logic và thuật toán tốt, phân tích và giải quyết vấn đề', ' Có khả năng làm việc độc lập, có tinh thần học hỏi          ']","['\n            ', '\n            •\tMức lương cạnh tranh (thỏa thuận theo năng lực )', '•\tLàm việc trong môi trường năng động, chuyên nghiệp.', '•\tCung cấp trang thiết bị đầy đủ để phục vụ công việc.', '•\tĐược đóng BHXH, BHYT, BHTN.', '•\tĐược hưởng các chính sách phúc lợi theo quy định của công ty.', 'Được tham gia team building hàng năm          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['IT phần mềm', 'Thiết kế web']"
8,Nhân Viên Seeding,Công Ty TNHH Logic Web,['Hồ Chí Minh'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n•\tTạo lập và phụ trách quản lý 10-20 accounts Facebook (trên 400 friends mỗi account);', '•\tXây dựng các nội dung, chủ đề trao đổi để giới thiệu về sản phẩm trên các group Facebook;', '•\tĐăng tải các bài quảng cáo, cung cấp thông tin sản phẩm,… lên các group;', '•\tĐăng tải các bình luận feedback công dụng sản phẩm;', '•\tHỗ trợ seeding các sản phẩm của công ty trong các group để thúc đẩy doanh số giao dịch;', '•\tPhân tích, xử lý các phát sinh và chủ động báo cáo công việc cho cấp trên;          ']","['\n            ', '\n            •\tHỗ trợ các công việc khác của phòng.', '•\tLên ý tưởng, kế hoạch cụ thể cho các dự án Facebook, youtube, Online seeding', '•\tPhân tích, thực hiện công việc được giao', '•\tTạo các loại email, tài khoản trên các forum, website, mạng xã hội lớn, tạo các thu hút lượt view, like, thảo luận, gửi email, trả lời inbox khách hàng', '•\tVào các topic, bài viết … được chỉ định để tạo ra các comment, bình luận', '•\tViết bài PR dịch vụ công ty', '•\tCác công việc khác theo yêu cầu của quản lý trực tiếp          ']","['\n            ', '\n            -Lương và các phúc lợi trao đổi trong lúc phỏng vấn.', '- Được thưởng hoa hồng', '- Yêu thích quảng cáo, truyền thông, marketing', '- Có khả năng viết linh hoạt, đa dạng, khéo léo, sáng tạo và tinh tế.', '- Có kinh nghiệm quản lý trên các mạng xã hội.', '- Có tinh thần học hỏi và biết lắng nghe, đam mê và nhiệt huyết trong công việc', '- Ưu tiên các ứng viên đã làm công việc với các forum, các nhóm seeding hoặc các dự án seeding', '- Được đào tạo ', '- Làm việc trong một môi trường năng động, chuyên nghiệp, nhiều cơ hội phát triển thăng tiến trong nghề nghiệp.          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['Hành chính - Văn phòng', 'IT phần mềm', 'Marketing - PR']"
9,Nhân Viên Seo,Công Ty TNHH Logic Web,['Hồ Chí Minh'],"[7000, 10000]",Toàn thời gian cố định,Nhân viên,"['\n            ', '\n            ', '\n', '\n•\tLên kế hoạch phát triển SEO cho hệ thống website của Cty, bao gồm: quản trị, thống kê, phát triển bộ từ khóa. Triển khai và báo cáo các hoạt động SEO và Google search.', '•\tXây dựng mô hình chiến lược (từ khóa) cụ thể trong từng giai đoạn khác nhau.', '•\tNghiên cứu sản phẩm, dịch vụ của các đối thủ cạnh tranh.', '•\tTheo dõi đánh giá thuật toán google và có phương hướng điều chỉnh thích hợp.', 'Xây dựng phát triển các kênh vệ tinh (blog, forum, bookmark, mạng xã hội).', 'Thực hiện báo cáo theo tuần, tháng về hiệu quả của SEO: hiệu quả trên trang và ngoài trang (onpage và offpage SEO).', 'Theo dõi và phân tích tính thân thiện người dùng của hệ thống website.', '•\tHỗ trợ soạn thảo, chịu trách nhiệm tối ưu bài viết các chiến dịch truyền thông theo chuẩn SEO.', 'Công việc theo yêu cầu, phát sinh          ']","['\n            ', '\n            1.\tCó kinh nghiệm triển khai dự án SEO ít nhất 1 năm (show sản phẩm)', 'Sử dụng thành thạo các công cụ phân tích SEO : ahref, google analytics, google webmaster tool,…', 'Sẵn sàng chịu được áp lực công việc', '2.\tTác phong làm việc năng động, cầu tiến, có trách nhiệm với công việc.', '3.\tKỹ năng tin học văn phòng thành thạo: Word, Excel,...', '4.\tCó kỹ năng làm việc theo nhóm', '5.\tCó ý định làm việc lâu dài và ổn định', '6.\tAm hiểu về quản trị website          ']","['\n            ', '\n            - Lương trao đổi trong lúc phỏng vấn.', '- Ngoài lương còn thêm phụ cấp: cơm trưa 25.000vnd/ngày', '- Chuyên cần 300.000vnd/tháng ', '- Thưởng hoa hồng ', '- Được đào tạo', '- Được cung cấp đầy đủ thiết bị hỗ trợ cho công việc.', '- Làm việc trong một môi trường năng động, chuyên nghiệp, nhiều cơ hội phát triển thăng tiến trong nghề nghiệp          ', '\n              ', '\n              - Đơn xin việc.', '- Sơ yếu lý lịch.', '- Hộ khẩu, chứng minh nhân dân và giấy khám sức khoẻ.', '- Các bằng cấp có liên quan.            ']",,"['Copywriter', 'IT phần mềm', 'Marketing - PR']"
